Processes: 381 total, 3 running, 378 sleeping, 1640 threads 
2024/10/28 13:36:50
Load Avg: 2.34, 2.42, 2.33 
CPU usage: 11.73% user, 17.33% sys, 70.93% idle 
SharedLibs: 307M resident, 47M data, 18M linkedit.
MemRegions: 252970 total, 1806M resident, 81M private, 524M shared.
PhysMem: 8082M used (2128M wired), 108M unused.
VM: 27T vsize, 3099M framework vsize, 107178992(0) swapins, 109325453(0) swapouts.
Networks: packets: 79133800/100G in, 39644768/12G out.
Disks: 33642606/1167G read, 15164375/944G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS    COW     MSGSENT   MSGRECV   SYSBSD    SYSMACH    CSW        PAGEINS IDLEW    POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
97080  com.apple.siri-d 0.0  00:00.05 2     1   43     1308K 0B    1268K 97080 1     sleeping  0[0]       0.00000 0.00000    502 2397      144     170       64        1729      437        487        0       0        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
97076  sandboxd         0.0  00:00.08 4     3   28     1124K 0B    1040K 97076 1     sleeping *0[1]       0.00000 0.00000    0   1294      133     99        37        3845      235        2310       6       347      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
97075  amsengagementd   0.0  00:00.40 2     1   82     3392K 0B    1812K 97075 1     sleeping *0[4]       0.00000 0.00000    502 8522      328     469       105       13688     1909       4408       272     187      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
97073  hidd             0.0  00:00.02 2     1   30     796K  0B    764K  97073 1     sleeping *0[1]       0.00000 0.00000    261 921       103     507       409       1756      1881       566        1       0        0.0   0      0      _hidd                  N/A    N/A   N/A   N/A   N/A   N/A  
97072  com.apple.ifdrea 0.0  00:00.02 2     1   31     848K  0B    832K  97072 1     sleeping *0[1]       0.00000 0.00000    0   1026      109     92        43        470       188        120        4       0        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
97071  usbd             0.0  00:00.04 2     1   36     900K  0B    868K  97071 1     sleeping  0[0]       0.00000 0.00000    0   1908      126     121       56        597       223        277        2       0        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
97069  backupd-helper   0.0  00:00.03 2     1   48     968K  0B    936K  97069 1     sleeping  0[0]       0.00000 0.00000    0   1479      134     132       52        778       314        261        38      2        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
97044  AMPArtworkAgent  0.0  00:00.09 2     1   39     1916K 0B    1868K 97044 1     sleeping  0[0]       0.00000 0.00000    502 2658      215     154       52        1408      382        512        41      0        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
97042  com.apple.audio. 0.0  00:00.02 3     1   47     808K  0B    276K  97042 1     sleeping *0[222]     0.00000 0.00000    202 1316      110     349       276       1399      938        300        9       0        0.0   0      0      _coreaudiod            N/A    N/A   N/A   N/A   N/A   N/A  
97038  com.apple.cmio.r 0.0  00:00.03 2     1   52     860K  0B    844K  97038 1     sleeping *0[28]      0.00000 0.00000    0   1688      121     144       80        869       365        106        5       1        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
97021  gamecontrollerd  0.0  00:00.30 3     2   58     1340K 0B    524K  97021 1     sleeping *0[4]       0.00000 0.00000    247 3988      157     3498      1236      6296      7147       5045       75      239      0.0   0      0      _gamecontrollerd       N/A    N/A   N/A   N/A   N/A   N/A  
96916  MTLCompilerServi 0.0  00:00.35 2     1   32     7388K 0B    7344K 96916 1     sleeping *0[3]       0.00000 0.00000    502 6206      401     135       48        701       310        1052       572     0        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
96906  ThumbnailExtensi 0.0  00:00.17 3     2/1 93     3684K 0B    1216K 96906 1     sleeping *0[1]       0.00000 0.00000    502 12226     303     806       332       3126      2093       1185       48      5        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
96388  zsh              0.0  00:00.43 1     0   21     2920K 0B    1380K 96388 96387 sleeping *0[1]       0.00000 0.00000    502 9518      3210    201       92        52689     241        2363       0       0        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
96387  login            0.0  00:00.02 2     1   32     1228K 0B    1212K 96387 95519 sleeping *0[9]       0.00000 0.00000    0   1554      199     87        35        4038      251        167        5       0        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
96262  CoreSpotlightSer 0.0  00:00.44 4     2   50     3696K 0B    3364K 96262 1     sleeping  0[0]       0.00000 0.00000    502 10304     227     4454      2127      11122     5809       5405       414     27       0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
96252  QuickLookUIServi 0.0  00:00.21 3     1   146    3480K 0B    1824K 96252 1     sleeping  0[393]     0.00000 0.00000    502 5831      287     2486      779       5644      6902       3098       35      77       0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
96251  com.apple.appkit 0.0  00:18.40 4     2   404    34M   0B    18M   96251 1     sleeping *2810[141]  0.00000 0.00000    502 696074    681     108907    37673     317600    215069     75550      722     429      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
