Processes: 381 total, 3 running, 378 sleeping, 1640 threads 
2024/10/28 13:36:50
Load Avg: 2.34, 2.42, 2.33 
CPU usage: 11.73% user, 17.33% sys, 70.93% idle 
SharedLibs: 307M resident, 47M data, 18M linkedit.
MemRegions: 252970 total, 1806M resident, 81M private, 524M shared.
PhysMem: 8082M used (2128M wired), 108M unused.
VM: 27T vsize, 3099M framework vsize, 107178992(0) swapins, 109325453(0) swapouts.
Networks: packets: 79133800/100G in, 39644768/12G out.
Disks: 33642606/1167G read, 15164375/944G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS    COW     MSGSENT   MSGRECV   SYSBSD    SYSMACH    CSW        PAGEINS IDLEW    POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
89154  CalNCService     0.0  00:10.69 2     1   120    9208K 0B    5524K 89154 1     sleeping *0[336]     0.00000 0.00000    502 125984    305     19686     5743      218551    73538      91613      1122    155      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88905  IDSBlastDoorServ 0.0  00:00.21 2     1   25     1264K 0B    1260K 88905 1     sleeping *0[73]      0.00000 0.00000    502 6205      186     190       121       1480      477        708        218     0        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88786  TrustedPeersHelp 0.0  00:00.56 2     1   36     5616K 0B    4308K 88786 1     sleeping *0[54]      0.00000 0.00000    502 14285     243     381       208       3378      1608       2013       369     9        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88785  followupd        0.0  00:00.21 2     1   65     1572K 0B    864K  88785 1     sleeping *0[20]      0.00000 0.00000    502 8718      149     489       261       3219      1512       1901       64      3        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88777  suggestd         0.0  00:10.57 2     1   418    13M   0B    10M   88777 1     sleeping *0[371]     0.00000 0.00000    502 121604    532     12113     5252      141403    62379      62545      13425   300      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88753  SoftwareUpdateNo 0.0  00:02.00 3     1   203    12M   0B    10M   88753 1     sleeping *0[1]       0.00000 0.00000    502 101298    973     14895     6704      15923     25381      18969      210     188      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88743  routined         0.0  00:05.59 2     1   121    8988K 0B    8840K 88743 1     sleeping *0[83]      0.00000 0.00000    502 96545     325     3500      2154      82265     37172      34753      3713    322      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88741  mapspushd        0.0  00:00.69 2     1   116    3760K 0B    3412K 88741 1     sleeping *0[48]      0.00000 0.00000    502 19404     303     981       634       17486     2894       10209      196     1439     0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88738  proactiveeventtr 0.0  00:00.25 2     1   65     1884K 0B    1880K 88738 1     sleeping *0[5]       0.00000 0.00000    502 6934      199     274       147       2022      914        1251       59      7        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88719  StocksWidget     0.0  00:22.95 8     6/2 127    12M   0B    3396K 88719 1     sleeping *4[182]     0.00000 0.00000    502 296480    872     12519     6939      179694    40157      64103      14200   207      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88684  backupd          0.0  00:01.06 2     1   40     1532K 0B    940K  88684 1     sleeping *0[1]       0.00000 0.00000    0   11332     250     2607      3377      54155     9556       7604       221     240      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
88676  IMDPersistenceAg 0.0  00:02.47 2     1   83     6552K 0B    6388K 88676 1     sleeping *0[91]      0.00000 0.00000    502 37043     288     2352      1699      50757     18592      14080      582     109      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88669  biomesyncd       0.0  00:00.26 2     1   55     1456K 0B    1448K 88669 1     sleeping *0[6]       0.00000 0.00000    502 9091      150     274       190       3318      1286       1822       135     18       0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88628  WeatherWidget    0.0  00:27.86 6     4/2 117    11M   48K   3948K 88628 1     sleeping *1078[118]  0.00000 0.00000    502 226367    835     9987      5091      229417    34305      72904      25182   131      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88621  triald           0.0  00:01.98 2     1   82     2756K 64K   1600K 88621 1     sleeping *0[34]      0.00000 0.00000    502 16516     189     1047      559       41938     10079      8881       854     14       0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88504  DockHelper       0.0  00:03.48 3     1   199    10M   0B    8268K 88504 1     sleeping *0[262]     0.00000 0.00000    502 70379     2450    26483     9771      18182     46558      26650      111     223      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88495  CoreServicesUIAg 0.0  00:04.03 5     3   237    12M   0B    7768K 88495 1     sleeping *0[288]     0.00000 0.00000    502 70937     362     24531     16673     124314    53839      41695      191     919      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88465  ctkd             0.0  00:00.23 2     1   43     1568K 0B    876K  88465 1     sleeping *0[122]     0.00000 0.00000    502 8766      152     4561      2604      3959      5417       2288       15      11       0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88459  csnameddatad     0.0  00:00.03 2     1   30     720K  0B    716K  88459 1     sleeping *0[7]       0.00000 0.00000    502 2038      105     129       65        552       311        199        3       1        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88457  pbs              0.0  00:00.19 2     1   42     1376K 0B    276K  88457 1     sleeping *0[26]      0.00000 0.00000    502 7666      120     404       394       3467      1732       1357       1       14       0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88455  UIKitSystem      0.0  00:01.60 2     1   83     4564K 0B    2984K 88455 1     sleeping *0[334]     0.00000 0.00000    502 53866     305     5716      3609      38862     17950      16925      614     372      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88453  ContainerMetadat 0.0  00:00.20 2     1   51     1696K 0B    1604K 88453 1     sleeping  0[0]       0.00000 0.00000    502 6899      175     913       330       3792      2028       2063       4       1        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88452  iconservicesd    0.0  00:00.08 2     1   43     1048K 0B    1044K 88452 1     sleeping *0[24]      0.00000 0.00000    240 3969      123     167       122       1138      473        543        0       9        0.0   0      0      _iconservices          N/A    N/A   N/A   N/A   N/A   N/A  
88451  iconservicesagen 0.0  00:00.56 2     1   74     14M   0B    4648K 88451 1     sleeping *0[33]      0.00000 0.00000    502 20057     228     1692      928       29010     2321       2550       360     19       0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88450  assistant_servic 0.0  00:09.45 3     1   210    11M   0B    9356K 88450 1     sleeping *0[147]     0.00000 0.00000    502 99718     686     17457     3280      138757    70810      68527      2446    2300     0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88449  com.apple.siri.e 0.0  00:00.82 2     1   36     4320K 0B    3432K 88449 1     sleeping *0[53]      0.00000 0.00000    502 16170     185     225       111       6155      624        2851       158     8        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88448  siriknowledged   0.0  00:00.36 2     1   58     3088K 0B    3016K 88448 1     sleeping *0[11]      0.00000 0.00000    502 12510     319     292       196       3702      924        4194       366     25       0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88447  swcd             0.0  00:02.02 2     1   48     1636K 0B    660K  88447 1     sleeping *0[225]     0.00000 0.00000    502 31263     142     544       380       27971     21687      10285      2476    9        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88446  networkservicepr 0.0  00:02.83 3     1   110    4844K 0B    4468K 88446 1     sleeping  0[0]       0.00000 0.00000    502 75670     304     2701      1311      37883     9207       23500      1346    1989     0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88445  siriactionsd     0.0  00:02.15 2     1   121    4112K 0B    2164K 88445 1     sleeping *0[36]      0.00000 0.00000    502 49686     301     1036      636       16206     6153       20763      3002    73       0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88442  dmd              0.0  00:02.04 2     1   84     2992K 64K   1904K 88442 1     sleeping *0[222]     0.00000 0.00000    502 42521     225     1622      1360      27505     12051      16704      652     60       0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88439  knowledge-agent  0.0  00:22.43 2     1   216    12M   640K  7008K 88439 1     sleeping *0[320]     0.00000 0.00000    502 217971    376     11843     5859      285765    93067      130807     1005    281      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88438  UsageTrackingAge 0.0  00:15.53 2     1   61     2796K 0B    2360K 88438 1     sleeping  0[0]       0.00000 0.00000    502 90096     180     55117     3150      118807    220461     148735     1922    99       0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88437  secinitd         0.0  00:00.48 2     1   39     1916K 0B    1900K 88437 1     sleeping *0[40]      0.00000 0.00000    502 13462     130     1122      500       20310     2305       1800       17      19       0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88436  ScreenTimeWidget 0.0  00:25.33 4     3/2 120    18M   0B    6836K 88436 1     sleeping *4[178]     0.00000 0.00000    502 274066    750     15424     5962      344132    53785      44242      13490   155      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88435  containermanager 0.0  00:02.79 2     1   40     15M   0B    13M   88435 1     sleeping *0[2852]    0.00000 0.00000    502 30796     210     15809     10898     116806    33256      17546      9       35       0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88434  pkd              0.0  00:07.17 2     1   206    6260K 0B    2956K 88434 1     sleeping *0[625]     0.00000 0.00000    502 97596     165     23328     4672      162462    58219      60283      8051    125      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88431  spindump         0.0  00:01.53 2     1   86     4212K 0B    4192K 88431 1     sleeping *0[1]       0.00000 0.00000    0   25135     187     712       479       23707     2087       5290       360     10       0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
88419  CAReportingServi 0.0  00:01.86 2     1   39     1380K 0B    272K  88419 1     sleeping *0[155]     0.00000 0.00000    0   33649     131     187542    94727     30281     106950     21258      7       136      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
88378  sysmond          0.0  00:05.04 2     1   17     728K  0B    596K  88378 1     sleeping *0[2]       0.00000 0.00000    0   8570      101     207949    126843    199711    201012     55291      29      25       0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
88362  AssetCacheLocato 0.0  00:00.58 3     1   71     1836K 0B    1164K 88362 1     sleeping *0[72]      0.00000 0.00000    502 16631     182     892       693       13015     2924       9068       34      1119     0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88361  com.apple.hiserv 0.0  00:06.00 2     1   73     940K  0B    284K  88361 1     sleeping *0[15541]   0.00000 0.00000    502 24277     116     31995     32934     240932    67741      68801      9       52       0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88360  neagent          0.0  00:00.40 2     1   49     1688K 0B    680K  88360 1     sleeping *0[1]       0.00000 0.00000    502 15854     153     568       177       3910      2092       2039       89      2        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88359  keybagd          0.0  00:02.15 2     1   45     1000K 0B    312K  88359 1     sleeping *0[1]       0.00000 0.00000    0   25448     116     10750     14131     68175     48147      26560      59      78       0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
88356  Keychain Circle  0.0  00:01.10 3     1   157    4028K 0B    2784K 88356 1     sleeping *0[1]       0.00000 0.00000    502 37824     310     14433     6717      12436     24579      17918      63      186      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88351  sysextd          0.0  00:00.07 2     1   36     1332K 0B    1312K 88351 1     sleeping *0[5]       0.00000 0.00000    0   3221      171     136       56        945       345        244        5       1        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
88348  contactsd        0.0  00:04.32 2     1   87     2904K 0B    2680K 88348 1     sleeping *0[1422]    0.00000 0.00000    502 36342     175     14352     9657      85658     55801      37112      161     84       0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88344  donotdisturbd    0.0  00:02.76 2     1   112    5604K 0B    3740K 88344 1     sleeping *0[443]     0.00000 0.00000    502 65539     316     3388      2227      34529     21738      22002      1818    169      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88342  coreduetd        0.0  00:14.98 2     1   68     5148K 64K   2800K 88342 1     sleeping *0[468]     0.00000 0.00000    0   173622    224     4386      2730      225747    79764      106364     3255    153      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
88341  nehelper         0.0  00:00.55 2     1   62     1232K 0B    1128K 88341 1     sleeping *0[275]     0.00000 0.00000    0   11586     145     1179      442       11072     3776       4805       131     21       0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
88337  com.apple.geod   0.0  00:03.04 3     1   69     5704K 76K   2952K 88337 1     sleeping *0[75]      0.00000 0.00000    0   57795     242     1129      818       60690     4723       26050      1268    2887     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
88333  fmfd             0.0  00:01.34 3     1   103    3692K 0B    3116K 88333 1     sleeping *0[131]     0.00000 0.00000    502 33553     327     2419      1388      23813     9424       15512      390     1258     0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88331  BiomeAgent       0.0  00:00.46 2     1   50     1396K 0B    772K  88331 1     sleeping *0[119]     0.00000 0.00000    502 10156     133     649       1208      8436      4183       2622       1263    0        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88327  adid             0.0  00:01.31 2     1   33     880K  0B    396K  88327 1     sleeping *0[838]     0.00000 0.00000    265 97494     112     3700      1282      40242     15955      5280       49      0        0.0   0      0      _fpsd                  N/A    N/A   N/A   N/A   N/A   N/A  
88326  akd              0.0  00:02.42 3     1   122    4288K 0B    2516K 88326 1     sleeping *0[1148]    0.00000 0.00000    502 48342     251     6347      4591      57054     25131      27604      325     1767     0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88319  cloudd           0.0  00:19.00 6     1   207    11M   424K  4184K 88319 1     sleeping *51[1]      0.00000 0.00000    502 164067    319     48610     18395     530895    167120     156655     4224    2620     0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88316  secd             0.0  00:12.20 2     1   162    6376K 224K  2464K 88316 1     sleeping *0[1]       0.00000 0.00000    502 129352    318     34213     19427     274785    125646     64859      1827    121      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88314  trustd           0.0  00:27.24 2     1   141    5728K 312K  2392K 88314 1     sleeping *0[3495]    0.00000 0.00000    502 113999    185     12342     10718     313633    120983     110330     2107    3804     0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88313  tccd             0.0  00:04.26 2     1   66     2572K 48K   696K  88313 1     sleeping *0[1501]    0.00000 0.00000    502 53896     168     8346      9807      139772    42011      25626      150     72       0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
88311  tccd             0.0  00:04.94 3     2   56     2636K 24K   640K  88311 1     sleeping *0[906]     0.00000 0.00000    0   62589     166     5693      5820      198564    32232      23089      431     69       0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
88303  mobileassetd     0.0  00:53.85 3     1   118    5492K 0B    3328K 88303 1     sleeping *0[367]     0.00000 0.00000    0   325934    239     3821      2998      323825    12442      177437     61      1838     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
88264  com.apple.CodeSi 0.0  00:00.21 2     1   20     756K  0B    344K  88264 1     sleeping *0[106]     0.00000 0.00000    0   7494      106     405       468       12908     1418       1130       2       20       0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
71172  Opera Helper (GP 0.0  19:52.21 10    1   221    177M  19M   43M   1319  1319  sleeping *1[2]       0.00000 0.00000    502 6875702   2702    16626281  7267486   6618864   16469854   4405468    14868   237577   0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
70495  trustd           0.0  01:27.52 2     1   100    5024K 52K   2280K 70495 1     sleeping *0[12392]   0.00000 0.00000    282 330352    189     39871     37487     1054718   473851     292523     721     6739     0.0   0      0      _trustd                N/A    N/A   N/A   N/A   N/A   N/A  
70401  IOUserBluetoothS 0.0  00:00.02 2     1   76     384K  0B    376K  70401 1     sleeping  0[1]       0.00000 0.00000    270 541       58      253       127       290       240        40         43      0        0.0   0      0      _driverkit             N/A    N/A   N/A   N/A   N/A   N/A  
70400  IOUserBluetoothS 0.0  00:00.02 2     1   77     460K  0B    452K  70400 1     sleeping  0[1]       0.00000 0.00000    270 542       58      260       132       304       252        130        24      0        0.0   0      0      _driverkit             N/A    N/A   N/A   N/A   N/A   N/A  
70343  bluetoothd       0.0  01:04.83 7     3   253    4900K 0B    1928K 70343 1     sleeping *0[1]       0.00000 0.00000    0   448786    262     106788    56265     1652786   280834     614757     8304    12319    0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
67857  Opera Helper (Re 0.0  00:21.88 13    1   344    105M  0B    23M   1319  1319  sleeping *0[2]       0.00000 0.00000    502 1085413   2510    71265     43354     118563    149641     105874     1028    6719     0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
56483  com.apple.Safari 0.0  00:02.00 4     1   64     6204K 0B    5856K 56483 1     sleeping *0[36]      0.00000 0.00000    502 49268     193     1249      1030      54555     3442       31551      41      4502     0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
56478  com.apple.WebKit 0.0  09:07.43 7     1   107    85M   256K  76M   56478 1     sleeping *0[1204]    0.00000 0.00000    502 1863374   262     1074655   199667    13088439  3612989    5950354    154833  113390   0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
56475  Safari           0.0  10:07.32 6     1   1627   108M  492K  53M   56475 1     sleeping  0[3596]    0.00000 0.00000    502 2264994   3152    4338970   1471933   6675128   13302618   5980000    46299   717969   0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
52366  SimLaunchHost.x8 0.0  00:00.04 2     1   21     1352K 0B    1348K 52366 1     sleeping *0[1]       0.00000 0.00000    502 2066      149     170       106       992       427        379        32      3        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
49268  universalAccessA 0.0  00:05.43 3     1   168    5792K 0B    4176K 49268 1     sleeping *0[974]     0.00000 0.00000    502 215898    272     54388     23407     37796     93376      81718      517     573      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
44662  storeuid         0.0  00:05.39 3     1   175    4520K 0B    3472K 44662 1     sleeping *0[1702]    0.00000 0.00000    502 219466    316     52668     24392     34544     87086      101198     40      620      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
44297  bird             0.0  31:41.62 3     2   194    15M   2548K 5556K 44297 1     sleeping *19413[1]   0.00000 0.00000    502 7472615   254     1875755   1343374   351799623 31325930   10756485   6187    1493     0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
44048  mdsync           0.0  00:00.06 2     1   35     1124K 0B    1120K 44048 1     sleeping *0[1]       0.00000 0.00000    0   3364      167     108       57        765       311        472        22      0        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
34894  com.apple.Safari 0.0  00:00.26 3     1   60     2552K 0B    2252K 34894 1     sleeping *1[11]      0.00000 0.00000    502 18946     218     736       572       5886      3552       4220       6       2        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
34888  QuickLookUIServi 0.0  00:13.41 5     1   343    20M   0B    14M   34888 1     sleeping *800[1659]  0.00000 0.00000    502 366700    532     115027    64906     256144    305564     240173     2169    1858     0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
21461  distnoted        0.0  00:05.13 2     1   29     420K  0B    256K  21461 1     sleeping *0[1]       0.00000 0.00000    222 23980     85      99        54640     218797    110351     80649      0       4        0.0   0      0      _netbios               N/A    N/A   N/A   N/A   N/A   N/A  
21460  distnoted        0.0  00:05.26 2     1   29     420K  0B    260K  21460 1     sleeping *0[1]       0.00000 0.00000    257 23504     85      99        54640     218797    110353     76694      0       6        0.0   0      0      _datadetectors         N/A    N/A   N/A   N/A   N/A   N/A  
21459  distnoted        0.0  00:05.35 2     1   29     428K  0B    264K  21459 1     sleeping *0[1]       0.00000 0.00000    274 23677     85      99        54640     218797    110349     74456      0       5        0.0   0      0      _installcoordinationd  N/A    N/A   N/A   N/A   N/A   N/A  
21458  distnoted        0.0  00:05.39 2     1   29     420K  0B    260K  21458 1     sleeping *0[1]       0.00000 0.00000    247 23355     85      99        54640     218796    110351     74808      0       6        0.0   0      0      _gamecontrollerd       N/A    N/A   N/A   N/A   N/A   N/A  
21457  distnoted        0.0  00:05.50 2     1   29     428K  0B    268K  21457 1     sleeping *0[1]       0.00000 0.00000    258 23447     85      99        54640     218796    110351     77438      0       4        0.0   0      0      _captiveagent          N/A    N/A   N/A   N/A   N/A   N/A  
21456  distnoted        0.0  00:05.52 2     1   29     420K  0B    256K  21456 1     sleeping *0[1]       0.00000 0.00000    259 23906     85      99        54640     218797    110351     79428      0       4        0.0   0      0      _ctkd                  N/A    N/A   N/A   N/A   N/A   N/A  
21455  distnoted        0.0  00:05.56 2     1   29     420K  0B    260K  21455 1     sleeping *0[1]       0.00000 0.00000    265 24114     85      101       54640     218797    110349     81517      0       4        0.0   0      0      _fpsd                  N/A    N/A   N/A   N/A   N/A   N/A  
21454  distnoted        0.0  00:05.59 2     1   29     420K  0B    260K  21454 1     sleeping *0[1]       0.00000 0.00000    261 23282     85      99        54640     218796    110349     83372      0       5        0.0   0      0      _hidd                  N/A    N/A   N/A   N/A   N/A   N/A  
21453  distnoted        0.0  00:05.60 2     1   29     436K  0B    276K  21453 1     sleeping *0[1]       0.00000 0.00000    270 23634     85      99        54640     218799    110351     85039      0       4        0.0   0      0      _driverkit             N/A    N/A   N/A   N/A   N/A   N/A  
21452  distnoted        0.0  00:05.67 2     1   29     420K  0B    264K  21452 1     sleeping *0[1]       0.00000 0.00000    262 22902     85      99        54640     218797    110351     86988      0       5        0.0   0      0      _cmiodalassistants     N/A    N/A   N/A   N/A   N/A   N/A  
21451  distnoted        0.0  00:05.66 2     1   29     436K  0B    276K  21451 1     sleeping *0[1]       0.00000 0.00000    65  23361     85      99        54640     218793    110351     88996      0       4        0.0   0      0      _mdnsresponder         N/A    N/A   N/A   N/A   N/A   N/A  
21450  distnoted        0.0  00:05.69 2     1   29     420K  0B    260K  21450 1     sleeping *0[1]       0.00000 0.00000    24  23528     85      100       54640     218793    110350     90746      0       4        0.0   0      0      _networkd              N/A    N/A   N/A   N/A   N/A   N/A  
21449  distnoted        0.0  00:05.72 2     1   29     420K  0B    260K  21449 1     sleeping *0[1]       0.00000 0.00000    240 23493     85      99        54640     218796    110349     91645      0       5        0.0   0      0      _iconservices          N/A    N/A   N/A   N/A   N/A   N/A  
21448  distnoted        0.0  00:05.78 2     1   29     436K  0B    272K  21448 1     sleeping *0[1]       0.00000 0.00000    213 23979     85      99        54640     218796    110351     93378      0       3        0.0   0      0      _usbmuxd               N/A    N/A   N/A   N/A   N/A   N/A  
21447  distnoted        0.0  00:05.82 2     1   29     428K  0B    268K  21447 1     sleeping *0[1]       0.00000 0.00000    266 23555     85      99        54640     218796    110351     94019      0       5        0.0   0      0      _timed                 N/A    N/A   N/A   N/A   N/A   N/A  
21446  distnoted        0.0  00:05.83 2     1   29     420K  0B    256K  21446 1     sleeping *0[1]       0.00000 0.00000    241 24313     85      99        54640     218796    110351     94746      0       4        0.0   0      0      _distnote              N/A    N/A   N/A   N/A   N/A   N/A  
21445  distnoted        0.0  00:05.92 2     1   29     428K  0B    268K  21445 1     sleeping *0[1]       0.00000 0.00000    244 23440     85      99        54640     218796    110350     96132      0       5        0.0   0      0      _displaypolicyd        N/A    N/A   N/A   N/A   N/A   N/A  
14094  distnoted        0.0  00:06.42 2     1   29     428K  0B    264K  14094 1     sleeping *0[1]       0.00000 0.00000    282 23965     85      99        59067     236506    119202     102786     0       3        0.0   0      0      _trustd                N/A    N/A   N/A   N/A   N/A   N/A  
14093  distnoted        0.0  00:06.49 2     1   29     428K  0B    268K  14093 1     sleeping *0[1]       0.00000 0.00000    263 23512     85      99        59067     236505    119201     102961     0       3        0.0   0      0      _analyticsd            N/A    N/A   N/A   N/A   N/A   N/A  
13111  lskdd            0.0  00:05.85 3     1   40     1304K 0B    996K  13111 1     sleeping *1[1]       0.00000 0.00000    265 72940     117     114723    57556     136824    59422      124325     1013    25575    0.0   0      0      _fpsd                  N/A    N/A   N/A   N/A   N/A   N/A  
10443  IMAutomaticHisto 0.0  00:00.54 2     1   47     1696K 0B    1660K 10443 1     sleeping  0[0]       0.00000 0.00000    502 29491     180     594       315       3532      1765       3318       150     16       0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
9197   USBAgent         0.0  00:00.53 2     1   29     920K  0B    916K  9197  1     sleeping  0[0]       0.00000 0.00000    502 37374     129     818       972       7876      4070       7924       174     141      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
4173   storagekitd      0.0  01:46.34 7     3   103    6316K 0B    5500K 4173  1     sleeping *0[54]      0.00000 0.00000    0   226725    181     697700    61675     3372443   1258716    3020166    1432    126477   0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
4171   mbuseragent      0.0  00:00.98 2     1   75     13M   0B    12M   4171  1     sleeping *1[14]      0.00000 0.00000    502 53690     285     2000      1650      10100     10785      10352      280     78       0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
3981   storedownloadd   0.0  00:00.38 2     1   38     1504K 0B    1500K 3981  1     sleeping *0[16]      0.00000 0.00000    502 13504     204     323       301       2960      1074       2920       126     7        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
3980   system_installd  0.0  28:50.68 2     1   85     53M   0B    53M   3980  1     sleeping *0[67]      0.00000 0.00000    0   54092103  1223    80122     40041     45002087  1864591    8949254    6186    60       0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
3978   installd         0.0  63:41.02 2     1   73     50M   0B    50M   3978  1     sleeping *0[72]      0.00000 0.00000    0   50206015  811     56909     29284     44207876  6030723    12872477   29995   9460     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
3922   com.apple.CloudD 0.0  00:07.12 2     1   224    3248K 0B    1364K 3922  1     sleeping *0[1]       0.00000 0.00000    502 94340     231     277069    143595    548961    193263     56936      490     181      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
